Supplier Name,Total
Bupa Care Homes� Seabrooke Manor Residential & Nursing Home,2977.80
Atkins Hope Solicitors,2967.09
St Johns Nursing Home Ltd,2944.20
The Property Centre Ltd,2925.00
Lloyd Park Nursing Home,2921.47
Ashmill Residential Care Home Ltd,2898.21
Rosewood Building & Maintenance Services,2876.00
Royal Masonic Benevolent Institution,2865.51
Chislehurst Care Ltd,2830.68
Conquest Hotel,2825.00
KBW,2825.00
Serenita Care Home,2785.72
Protocol Education,2730.00
Capita Software Services,2688.75
Hillcrest Care Ltd,2675.40
Aquatech Environmental Services Ltd,2669.00
BAAF,2658.32
Playback Studio,2655.00
Dudwell St. Mary Care Home,2610.28
Whitworth Lodge,2594.09
Earth Anchors Ltd,2576.00
Knights Court,2563.44
Tunstall Group,2562.50
Anchor Trust,2554.44
Basis Ltd,2550.00
Logotech Systems,2550.00
Wentworth Croft,2548.09
Sitexorbis Ltd,2520.00
Jiva HealthCare Ltd,2517.34
Extrafriend Ltd,2514.68
Hope Worldwide,2513.80
Prospect Housing & Support Services,2476.45
Deloitte LLP trading as Drivers Jonas Deloitte,2450.00
Database Developments Ltd,2444.00
Premier Care Ltd,2432.36
GBS RE CO Civil Superannuation,2427.00
The Hornchurch Nursing Centre,2400.00
Miss Ruth Cabeza,2375.00
Camden Lodge Residential Care Home,2357.15
Goldsborough Home Care,2350.13
Larkfield Hall Ltd,2339.70
Janes House-C Bisessar,2327.91
George Browns,2323.00
Harris Consulting Limited,2312.50
Mornington Hall Nursing Home,2300.58
Homeleigh,2296.79
AXA-ICAS Ltd,2295.00
Aintree Day Nursery & Kids Club,2275.00
NowMedical,2260.00
Equinox Ltd,2258.36
Inter-Logics,2250.00
Jenx Ltd,2235.00
The Clarkson Alliance,2229.50
Roseacre Care Ltd,2228.28
Care and Residential Homes Ltd,2207.57
The Swallows,2185.93
Nightingale House,2181.43
Ian Tait and Co Ltd,2175.00
Enmore Lodge Ltd,2169.65
West Lodge Nursing & Residential Home,2148.43
Kilncroft Rest Home,2147.35
Abbeyfield Stangrove Lodge,2128.45
Brambles Respite Care Hotel,2092.60
Ascendit Lifts Ltd,2090.00
OAK Residential Home,2079.65
Harrison Catering Services Ltd,2061.36
Cricklade House,2046.43
Champions Place,2030.31
Grange Cottage Residential Home,2022.85
Tamaris South East Ltd,2008.88
Chocolate Films Ltd,2000.00
TGMS Ltd,2000.00
Grove House Residential Care Home,1991.15
Newstead Nursing Home,1990.84
Springmarsh Homes Ltd,1986.82
Victim Support Lambeth,1972.63
Richmond Upon Thames Churches Housing Trust,1959.99
Leys Park Care Centre,1954.72
Christ the King Residential Care Homes Ltd,1947.90
Beverley Lodge Nursing Home,1944.43
Sweet Tree Home Care Services,1921.00
Excelcare Ltd,1920.13
Saxon Court,1919.61
College Engineering Services,1900.00
Greenbushes Nursing Home,1894.12
The London Care Project,1892.53
LKA Educational Consultancy,1875.00
Browne Jacobson Solicitors,1872.70
Cyclescheme Ltd,1865.99
A A GuestHouses,1860.00
Rusthall Lodge Nursing Home,1857.69
Barchester Healthcare Ltd,1848.43
Paulways Kennels & Catteries,1847.00
Rollapaluza Ltd,1836.76
16 Plus Independent Living Project,1826.83
Broadlands Nursing Home,1803.22
Outer Temple Chambers,1800.00
The Brit School,1800.00
Terrance House,1797.90
Presentation,1793.68
Mr Mark Payne,1772.67
EMM LANE AND WESTBANK CARE HOME,1767.75
Assetgrove Ltd,1760.00
E.On Energy,1753.49
The Complete Works Theatre Company Ltd,1748.00
Cloe Perry,1745.00
Atlantic Lodge (Housing) Ltd,1736.00
Raglan Housing Association,1727.40
Big D Furniture Ltd,1724.00
Incasso Debt Recovery,1713.00
Family Investment Four Ltd,1703.92
Charing Healthcare,1697.15
Meadbank Nursing Centre,1680.25
Stanthorpe Hotel,1680.00
Vermont Lodge,1669.80
Spoce Project Management,1666.66
Sir Frederick Snow & Partners Ltd,1663.57
Nicholas James Care Homes Ltd,1658.70
Thornton Lodge Residential Home,1651.07
Sara Bubb Consultancy,1650.00
Caburn Supported Services Ltd,1643.08
New Century Care Ltd,1633.58
Independent Social Care Consultancy,1625.00
Yara Enterprises Ltd,1621.37
F J Barritt Transport,1620.00
Share Community Ltd,1618.40
The Avenue Nursing Home,1615.50
Kenwood Care Home,1606.04
Blackfriars Advice Centre,1602.46
Coin Street Community Builders Ltd,1600.00
Coin Street Neighbourhood Centre,1600.00
Edward Ofori- Afriye,1600.00
Ladybirds Landscaping & Gardenings Services,1600.00
Holmwood Nursing Home Ltd,1599.08
God's Ports Housing Society Ltd,1594.97
Canford Audio Plc,1594.00
Miss Joanna Burt,1575.00
Miss S Hine,1570.00
SOLO(ACCOM) Ltd,1557.00
Write-Trak Ltd,1556.00
Elmwood Nursing Home,1539.13
TCR Training Ltd,1535.00
Oban House,1517.07
Dynamic Initiatives Ltd,1500.00
Shoot4Goal,1500.00
University of Greenwich,1500.00
Surrey Rest Homes Ltd,1498.68
Farmstead Nursing Home,1497.99
"Weybourne Residential Care Home, Avante Partnership",1497.21
F J Nash Double Glazing Limited,1495.00
The Oaks Nursing Centre,1490.54
The Friendly Almshouses,1470.28
Praesmohr House,1469.60
Waterloo Quarter Business Alliance,1427.72
Knox Bhavan Architects,1425.00
Art4Space,1418.00
Clarendon Nursing Home,1411.72
Garth House Nursing Home,1403.61
Tudor House,1402.55
Saffronland Homes,1399.66
All About Care,1398.22
Chelmsford Safety Supplies,1396.32
Methodist Homes,1395.22
Mr Kieron Hanlon,1393.36
Hayes Court,1391.37
Mr Armando Shehu,1390.00
Paulways Pet Hotel,1385.38
Addlestone Lodge,1376.40
Lewisham College,1375.00
Foxley Lodge,1373.26
St Helens Lodge,1354.03
Autumn Lodge Care Home,1347.87
Courier Cars,1346.70
Rosedale Residential Home,1342.75
Triple P UK Limited,1325.00
Hasca Ltd,1320.00
Mentivation Services,1316.33
Somerset Care,1306.90
Assisi Community Care,1301.91
Adoption Uk,1301.76
Mr Michael Scharf,1300.00
Mr Steve Williamson,1300.00
Westholme Clinic Ltd,1299.33
TSA Training and Access Consultancy,1292.00
Willis Palmer,1291.67
Oasis Young People's Care Service,1285.71
Knyveton Hall,1282.50
Rosina Lodge Residential Home,1282.50
Upper Halliford Nursing Home,1282.50
Surrey Heights,1268.95
Greendell Limited,1260.00
Care2Share Residential Family Centre,1250.00
Peckham Lodge,1240.00
Hooklands Nursing Home,1228.85
Sign Supply Ltd,1226.07
Ashton Lodge,1222.50
Little Hayes Care Home,1222.50
Elizabeth Court Rest Home,1221.90
Burnside Associates Limited,1200.00
Centre for Action Learning Facilitation,1200.00
The Manor Nursing and Residential Care,1190.35
Copyright Licensing Agency Ltd,1190.32
192Business Ltd,1190.00
Action For Blind People,1176.00
Beverley Grange Nursing Home,1170.38
Blanchworth Care,1169.15
Seven Ways,1164.00
Southside Partnership Fanon Care,1162.84
New Park Road Baptist Church,1160.84
Ajax Flooring Co Ltd,1145.00
Bottomline Technologies Europe Ltd,1133.00
Ebonycare,1131.85
Angles Guest House,1130.00
South Bank Centre London,1130.00
Abbeyfield Society Ltd,1119.24
Generate,1112.85
Rosenmanor Residential Care Home,1103.79
Clarence Nursing Home,1088.87
Chubb Fire Ltd,1079.65
South London Press,1056.00
Aquarius Group,1047.55
Watts Group PLC,1046.12
Allspan UK Ltd,1045.00
Mrs C Patel,1035.62
Drewstead Lodge,1032.68
SES Care Homes Ltd,1031.49
Flashfields Photography,1025.00
Mr Dana Rasheed,1025.00
Twin Ventures International Ltd,1016.74
FTC Kaplan Ltd,1012.50
Unique Help Group,1008.35
Greensleeves Homes Trust,1003.52
Cobbetts LLP,1001.10
Equifax Plc,1001.00
LOCN,1000.00
Mrs Miraj Aziz,996.43
Npower Ltd,990.08
