Supplier Name,Total
Jeffrey Batchelor,987.57
"Ashbourne Homes Ltd, Broome End care Centre",962.35
Phoenix Fire & Safety,960.00
DNI Data and Electrical Installations Ltd,958.00
1 Pump Court,950.00
West Lodge Residential Care Home,941.40
Beulah House Hotel,930.00
Woodside Lodge,930.00
Loomis UK Ltd,922.99
Handymans Corner (Brixton) Ltd,922.15
Chain Gang Limited,902.07
Notting Hill Housing Group,901.15
JP Consultancy and Interim Services Ltd,900.00
Aconflag Ltd,897.79
Safe Harbour Nursing Home,896.37
Ms Carmeleta Mayne,888.86
Thompson,886.80
Ethelred Estate Community Youth Club,880.00
Marshall F Pont & Associates,880.00
Arlington House Residential Home,879.03
IndePenDent Business Services Ltd,874.20
School Trends,874.20
G4S Care & Justice Services (UK) Ltd,867.50
Grant Thornton,866.30
Sight and Sound,847.50
Zetetick Housing,837.20
Rutland Residential Care Home,835.85
Eden Springs (UK) Ltd,825.00
HQN Ltd,820.00
Abbeyfield Dorcas Society,806.36
Peters Ltd,805.62
Rogers & Co Chartered Building Surveyors,802.50
Matrix Training Associates Ltd,800.00
Smart Teachers,792.00
Dawson & Son Electrical Contractors Ltd,780.00
Deafblind UK,771.60
Durrants Press Cuttings Ltd,766.58
Ashmount Care Home with Nursing,760.62
Hearing Products International Ltd,760.00
Sternberg Reed Taylor & Gill Sols,760.00
VMS Network Cabling Ltd,759.33
The Media Services Company,750.00
Wind Workshop,739.40
The Satellite Distribution Company Ltd,725.00
Trustmarque Solutions Ltd,708.81
Action on Addiction Ltd,700.00
Holex,700.00
Mrs. C.C. von Eisenhart-Goodwin,700.00
P & M M Ltd,695.06
D Sully & Son Limited,685.96
Howard Castle Care Centre,677.58
Multifire Ltd,665.00
Festival Gates,660.00
Chandlers Ltd,656.00
GLS Educational Supplies Ltd,651.87
Alexander Facey Table Tennis Coaching,650.00
Camphill Village Trust,639.80
Fostering & Adoptions,637.99
Greyhound Cars,629.25
Zychem Ltd,625.00
Port Regis,620.69
Dementia UK,620.00
Cryers,606.66
AKDtraining,600.00
Jason Braier,600.00
Jon Holbrook,600.00
BIFFA Waste Servicess Ltd,593.84
SECOM Plc,593.08
MKLC Training,590.00
AudioGo Ltd,588.19
CF Asset Finance Limited,586.57
Stephen Fitzpatrick,575.00
The Lucy Faithfull Foundation,566.50
Crystal Cleaning Supplies,555.68
CLASSROOM,555.00
National Youth Advocacy Service,550.00
NICE CTI Systems UK Ltd,550.00
Guiness Trust Estate,537.80
Teddies Nurseries Ltd,523.54
First Premise Ltd,515.36
London Metropolitan University,505.00
